Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
70,11.34,1.9,Jenna PRANDINI,20-Nov-92,USA,1h1,"Clovis, CA (USA)",4-Jun-10,1127
70,11.34,1.6,Yuliya KASHINA,26-Feb-87,RUS,4,Saransk (RUS),13-Jul-10,1127
70,11.34,1.2,Guzel KHUBBIEVA,2-May-76,UZB,2,Guangzhou (CHN),22-Nov-10,1127
76,11.35,1.7,Momoko TAKAHASHI,16-Nov-88,JPN,2,Hiroshima (JPN),29-Apr-10,1125
76,11.35,0.7,Me'Lisa BARBER,4-Oct-80,USA,5f3,Ponce (PUR),8-May-10,1125
76,11.35,0.1,Tiffany TOWNSEND,14-Jun-89,USA,2,"Columbia, MO (USA)",16-May-10,1125
76,11.35,1.6,Anna GEFLIKH,1-Feb-83,RUS,5,Saransk (RUS),13-Jul-10,1125
76,11.35,1.1,Barbara PIERRE,28-Apr-87,USA,2,Nuoro (ITA),14-Jul-10,1125
76,11.35,1,Lina GRINČIKAITÉ-SAMUOLÉ,3-May-87,LTU,4sf1,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1125
82,11.36,-1.8,Shareese WOODS,20-Feb-85,USA,1f1,"Orlando, FL (USA)",27-Mar-10,1133
82,11.36,1,Schillonie CALVERT-POWELL,27-Jul-88,JAM,2f2,Kingston (JAM),8-May-10,1123
82,11.36,0.6,Stormy KENDRICK,6-Jan-91,USA,2f1,"Greensboro, NC (USA)",28-May-10,1123
85,11.37,2,Georgina NEMBHARD,24-Nov-88,JAM,1f1,"Athens, GA (USA)",10-Apr-10,1120
85,11.37,0,Shavon GREAVES,20-Dec-88,USA,1f1,"Columbus, OH (USA)",1-May-10,1120
85,11.37,1.7,Ayanna HUTCHINSON,18-Feb-78,TTO,3,Port-of-Spain (TTO),26-Jun-10,1120
88,11.38,2,Lamarra CURRIE,2-Oct-87,USA,1,"Chapel Hill, NC (USA)",8-May-10,1118
88,11.38,0.3,Amber PURVIS,23-Jan-90,USA,1,"Berkeley, CA (USA)",16-May-10,1118
88,11.38,1.8,Courtney PATTERSON,10-Feb-85,ISV,4f1,"Clermont, FL (USA)",5-Jun-10,1118
88,11.38,1.9,Weronika WEDLER,17-Jul-89,POL,1h1,Bielsko-Biala (POL),8-Jul-10,1118
88,11.38,1.6,Yelena CHERNYAYEVA,19-Sep-88,RUS,6,Saransk (RUS),13-Jul-10,1118
93,11.39,0.9,Lekeisha LAWSON,3-Jun-87,USA,2,"Walnut, CA (USA)",17-Apr-10,1116
93,11.39,0.4,Nelky CASABONA,12-May-84,CUB,1,La Habana (CUB),21-May-10,1116
93,11.39,2,Elaine O'NEILL,20-Aug-89,GBR,3f1,La Chaux-de-Fonds (SUI),4-Jul-10,1116
96,11.4,2,Natasha HASTINGS,23-Jul-86,USA,2f1,"Athens, GA (USA)",10-Apr-10,1114
96,11.4,1.3,Josephine Ada OMAKA,29-Nov-93,NGR,1h3,Lagos (NGR),30-Apr-10,1114
96,11.4,1.6,Petrice RICHARDS,16-Jun-84,JAM,1,"Greensboro, NC (USA)",8-May-10,1114
96,11.4,1.3,Chastity RIGGIEN,5-Jul-89,USA,1h2,"Orlando, FL (USA)",15-May-10,1114
96,11.4,0.8,Kristy WHYTE,,BAH,2h1,"Greensboro, NC (USA)",27-May-10,1114
1,10.64,1.2,Carmelita JETER,24-Nov-79,USA,1,Shanghai (CHN),20-Sep-09,1280
2,10.73,0.1,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1,"Olympiastadion, Berlin (GER)",17-Aug-09,1259
3,10.75,0.4,Kerron STEWART,16-Apr-84,JAM,1,"Stadio Olimpico, Roma (ITA)",10-Jul-09,1255
4,10.89,1.2,Veronica CAMPBELL-BROWN,15-May-82,JAM,2,Shanghai (CHN),20-Sep-09,1224
5,10.94,1.7,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1,Port-of-Spain (TTO),19-Jun-09,1213
6,10.97,0,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,2,"Stade Louis II, Monaco (MON)",28-Jul-09,1206
7,10.99,0.4,Chandra STURRUP,12-Sep-71,BAH,3,"Stadio Olimpico, Roma (ITA)",10-Jul-09,1202
8,11.01,0.1,Lauryn WILLIAMS,11-Sep-83,USA,5,"Olympiastadion, Berlin (GER)",17-Aug-09,1198
9,11.02,1.4,Alexandria ANDERSON,28-Jan-87,USA,1h3,"Fayetteville, AR (USA)",10-Jun-09,1195
10,11.04,1.3,Shalonda SOLOMON,19-Dec-85,USA,1f2,"Icahn Stadium, New York, NY (USA)",30-May-09,1191
11,11.05,1.3,Tianna BARTOLETTA,30-Aug-85,USA,2f2,"Icahn Stadium, New York, NY (USA)",30-May-09,1189
12,11.07,1.3,Aleen BAILEY,25-Nov-80,JAM,3f2,"Icahn Stadium, New York, NY (USA)",30-May-09,1185
13,11.08,1.3,Allyson FELIX,18-Nov-85,USA,2,Rethymno (GRE),20-Jul-09,1182
14,11.09,-0.9,Murielle AHOURÉ,23-Aug-87,CIV,1,"Greensboro, NC (USA)",30-May-09,1185
15,11.12,1,Porscha LUCAS,18-Jun-88,USA,2f2,"Austin, TX (USA)",4-Apr-09,1174
16,11.13,1.8,Gabrielle MAYO,26-Jan-89,USA,1,"Austin, TX (USA)",4-Apr-09,1172
16,11.13,1.8,Tiffany TOWNSEND,14-Jun-89,USA,2,"Austin, TX (USA)",4-Apr-09,1172
16,11.13,0.1,LaVerne JONES-FERRETTE,16-Sep-81,ISV,1,"Blankers-Koen Stadion, Hengelo (NED)",1-Jun-09,1172
16,11.13,0.1,Stephanie DURST,6-Jan-82,USA,2,"Blankers-Koen Stadion, Hengelo (NED)",1-Jun-09,1172
16,11.13,0.1,Muna LEE,30-Oct-81,USA,3qf3,"Olympiastadion, Berlin (GER)",16-Aug-09,1172
21,11.14,1.2,Marshevet HOOKER,25-Sep-84,USA,2,"National Stadium, Kingston (JAM)",2-May-09,1169
21,11.14,1.4,Charonda WILLIAMS,27-Mar-87,USA,1,"Eugene, OR (USA)",17-May-09,1169
21,11.14,1.4,Samantha HENRY-ROBINSON,25-Sep-88,JAM,2h3,"Fayetteville, AR (USA)",10-Jun-09,1169
24,11.15,1.3,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,4f2,"Icahn Stadium, New York, NY (USA)",30-May-09,1167
24,11.15,0.2,Gloria ASUMNU,22-May-85,USA,1,Lapua (FIN),8-Jul-09,1167
24,11.15,0.5,Sherone SIMPSON,12-Aug-84,JAM,1,Padova (ITA),30-Aug-09,1167
27,11.16,-1.5,Sheri-Ann BROOKS,11-Feb-83,JAM,3,Kingston (JAM),27-Jun-09,1174
27,11.16,0,Yevgeniya POLYAKOVA,29-May-83,RUS,1sf1,Cheboksary (RUS),24-Jul-09,1165
27,11.16,-0.1,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1,Abuja (NGR),24-Jul-09,1165
30,11.17,0.8,Bianca KNIGHT,2-Jan-89,USA,1f1,"Oxford, MS (USA)",11-Apr-09,1163
31,11.18,1.4,Barbara PIERRE,28-Apr-87,HAI,1h2,"San Angelo, TX (USA)",21-May-09,1161
31,11.18,1.1,Semoy HACKETT,27-Nov-88,TTO,1,"San Angelo, TX (USA)",23-May-09,1161
31,11.18,-0.3,Jessica YOUNG-WARREN,6-Apr-87,USA,2,"Norman, OK (USA)",30-May-09,1162
31,11.18,-0.2,Verena SAILER,16-Oct-85,GER,1,Ulm (GER),4-Jul-09,1162
35,11.19,1.2,Schillonie CALVERT-POWELL,27-Jul-88,JAM,1,Kingston (JAM),18-Apr-09,1159
36,11.2,1.6,Kenyanna WILSON,27-Oct-88,USA,3h1,"Fayetteville, AR (USA)",10-Jun-09,1157
36,11.2,1.6,LaKya BROOKINS,28-Jul-89,USA,4h1,"Fayetteville, AR (USA)",10-Jun-09,1157
38,11.21,1.9,LaShauntea MOORE,31-Jul-83,USA,1f1,"Austin, TX (USA)",2-May-09,1154
39,11.22,1.2,Virgil HODGE,17-Nov-83,SKN,1,Basseterre (SKN),21-Jun-09,1152
39,11.22,0.8,Chalonda GOODMAN,29-Sep-90,USA,1,Port-of-Spain (TTO),31-Jul-09,1152
41,11.23,1.9,Simone FACEY,7-May-85,JAM,2f1,"Austin, TX (USA)",2-May-09,1150
42,11.24,1.9,Chisato FUKUSHIMA,27-Jun-88,JPN,1,Tottori (JPN),7-Jun-09,1148
42,11.24,-0.4,Marion WAGNER,1-Feb-78,GER,1h3,Ulm (GER),4-Jul-09,1150
44,11.25,-0.8,Vida ANIM,7-Dec-83,GHA,1,Malles Venosta (ITA),28-Jun-09,1150
45,11.26,1.9,Sally PEARSON,19-Sep-86,AUS,1h1,Brisbane (AUS),21-Feb-09,1144
45,11.26,1.4,Svetlana NABOKINA,26-Jan-82,RUS,1,Bryansk (RUS),26-Jun-09,1144
47,11.27,0.6,Torri EDWARDS,31-Jan-77,USA,6h2,"Stadio Olimpico, Roma (ITA)",10-Jul-09,1142
47,11.27,0,Carrie RUSSELL,18-Oct-90,JAM,3f1,Luzern (SUI),15-Jul-09,1142
49,11.28,1.3,Carol RODRÍGUEZ,16-Dec-85,PUR,8f2,"Icahn Stadium, New York, NY (USA)",30-May-09,1139
49,11.28,0.1,Lucimar Aparecida DE MOURA,22-Mar-74,BRA,1,Rio de Janeiro (BRA),5-Jun-09,1139
51,11.29,0,Courtney PATTERSON,10-Feb-85,ISV,1,"Clermont, FL (USA)",7-Jun-09,1137
51,11.29,0.5,Olga PCHELA,13-Oct-82,RUS,1h1,Bryansk (RUS),26-Jun-09,1137
51,11.29,0.1,Ezinne OKPARAEBO,3-Mar-88,NOR,5f1,"Bislett Stadion, Oslo (NOR)",3-Jul-09,1137
54,11.3,1.3,Ebonie FLOYD,21-Oct-83,USA,4,Doha (QAT),8-May-09,1135
54,11.3,0,Rachelle BOONE-SMITH,30-Jun-81,USA,2,"Mangueirão, Belém (BRA)",24-May-09,1135
56,11.31,1.9,Jeneba TARMOH,27-Sep-89,USA,3f1,"Austin, TX (USA)",2-May-09,1133
56,11.31,1,Guzel KHUBBIEVA,2-May-76,UZB,1f1,Suzhou (CHN),23-May-09,1133
56,11.31,0.1,Oludamola OSAYOMI,26-Jun-86,NGR,4,"Blankers-Koen Stadion, Hengelo (NED)",1-Jun-09,1133
56,11.31,1.7,Ayanna HUTCHINSON,18-Feb-78,TTO,3,Port-of-Spain (TTO),19-Jun-09,1133
56,11.31,-0.3,Lina GRINČIKAITÉ-SAMUOLÉ,3-May-87,LTU,1,Beograd (SRB),8-Jul-09,1134
56,11.31,1.4,Yekaterina BUTUSOVA,10-Jan-84,RUS,1h7,Cheboksary (RUS),23-Jul-09,1133
62,11.32,1.9,Momoko TAKAHASHI,16-Nov-88,JPN,2,Tottori (JPN),7-Jun-09,1131
63,11.33,1.1,Bettina MÜLLER-WEISSINA,12-Jul-73,AUT,1h1,Sofia (BUL),9-Jun-09,1129
63,11.33,0.9,Emily FREEMAN,24-Nov-80,GBR,1f3,"Olympiastadion, Berlin (GER)",14-Jun-09,1129
63,11.33,0,Natalia POHREBNIAK,19-Feb-88,UKR,1,Donetsk (UKR),2-Jul-09,1129
66,11.34,1.9,Allison GEORGE,3-Jan-88,GRN,4f1,"Austin, TX (USA)",2-May-09,1127
66,11.34,1.9,LaDedra GUY,16-Nov-84,USA,4f1,"Austin, TX (USA)",2-May-09,1127
66,11.34,1.6,Joanna ATKINS,31-Jan-89,USA,1h1,"Gainesville, FL (USA)",16-May-09,1127
66,11.34,1,Oksana DRAHUN,19-Apr-81,BLR,1f1,Minsk (BLR),29-May-09,1127
66,11.34,-0.2,Lisa SCHORR,30-May-82,GER,3,Ulm (GER),4-Jul-09,1128
66,11.34,-0.4,Anne CIBIS,27-Sep-85,GER,1h4,Ulm (GER),4-Jul-09,1129
66,11.34,1,Myriam SOUMARE,29-Oct-86,FRA,1h3,Angers (FRA),24-Jul-09,1127
66,11.34,,Vu Thi HUONG,7-Oct-86,VIE,1,Vientiane (LAO),13-Dec-09,1127
74,11.35,1.2,Anneisha MCLAUGHLIN-WHILBY,6-Jan-86,JAM,2,Kingston (JAM),18-Apr-09,1125
74,11.35,1.1,Cathleen TSCHIRCH,23-Jul-79,GER,2h2,Regensburg (GER),7-Jun-09,1125
74,11.35,0.3,Yelena BOLSUN,25-Jun-82,RUS,1h6,Cheboksary (RUS),23-Jul-09,1125
77,11.36,-0.7,Tsholofelo SELEMELA-THIPE,12-Sep-86,RSA,1,Stellenbosch (RSA),14-Mar-09,1127
77,11.36,0.9,Tangela NEAL,7-Apr-79,USA,4f1,"Coral Gables, FL (USA)",11-Apr-09,1123
77,11.36,1.1,Janika MARTELL,31-Oct-85,JAM,3,"San Angelo, TX (USA)",23-May-09,1123
77,11.36,2,Yuliya KATSURA,28-May-83,RUS,1,Krasnodar (RUS),9-Jun-09,1123
77,11.36,0.9,Ashleigh NELSON,20-Feb-91,GBR,2f3,"Olympiastadion, Berlin (GER)",14-Jun-09,1123
82,11.37,1.8,Sherry FLETCHER,17-Jan-86,GRN,3f1,"Baton Rouge, LA (USA)",18-Apr-09,1120
82,11.37,1.3,Georgia KOKLONI,7-May-81,GRE,2sf1,Pescara (ITA),1-Jul-09,1120
82,11.37,0,Anna GEFLIKH,1-Feb-83,RUS,1sf2,Cheboksary (RUS),24-Jul-09,1120
82,11.37,1.8,Adrienne POWER,11-Dec-81,CAN,1,Moncton (CAN),1-Aug-09,1120
82,11.37,0.8,Eleni ARTYMATA,16-May-86,CYP,5qf2,"Olympiastadion, Berlin (GER)",16-Aug-09,1120
87,11.38,1.8,Cherrelle GARRETT,7-May-89,USA,1h2,"Eugene, OR (USA)",16-May-09,1118
87,11.38,-0.4,Yasmin KWADWO,9-Nov-90,GER,2h3,Ulm (GER),4-Jul-09,1120
87,11.38,0.2,Marika POPOWICZ-DRAPAŁA,28-Apr-88,POL,1f1,Bydgoszcz (POL),31-Jul-09,1118
87,11.38,0.8,Amber PURVIS,23-Jan-90,USA,2,Port-of-Spain (TTO),31-Jul-09,1118
91,11.39,0.8,Sheniqua FERGUSON,24-Nov-89,BAH,2f1,"Oxford, MS (USA)",11-Apr-09,1116
91,11.39,1.8,Dominique' MALOY,18-Apr-89,USA,2h2,"Eugene, OR (USA)",16-May-09,1116
91,11.39,-0.3,Scottesha MILLER,14-Jan-88,USA,7,"Norman, OK (USA)",30-May-09,1117
91,11.39,0.7,Jodie WILLIAMS,28-Sep-93,GBR,1,Bressanone (ITA),9-Jul-09,1116
91,11.39,2,Sónia TAVARES,21-Mar-86,POR,2,Lisboa (POR),12-Jul-09,1116
96,11.4,0.4,Laura TURNER,12-Aug-82,GBR,1h1,Bottrop (GER),26-Jun-09,1114
96,11.4,-1,Emma ANIA,7-Feb-79,GBR,3h2,"Stadio Quercia, Rovereto (ITA)",1-Sep-09,1120
98,11.41,1.1,Nandelle CAMERON,21-Oct-83,TTO,4,"San Angelo, TX (USA)",23-May-09,1112
98,11.41,1.9,Jura LEVY,4-Nov-90,JAM,1,Spanish Town (JAM),13-Jun-09,1112
98,11.41,1,Montell DOUGLAS,24-Jan-86,GBR,1f1,La Chaux-de-Fonds (SUI),28-Jun-09,1112
1,10.78,1.8,Torri EDWARDS,31-Jan-77,USA,1sf2,"Eugene, OR (USA)",28-Jun-08,1248
1,10.78,0,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1,"National Stadium, Beijing (CHN)",17-Aug-08,1248
3,10.8,0.7,Kerron STEWART,16-Apr-84,JAM,1,Kingston (JAM),27-Jun-08,1244
4,10.85,1,Muna LEE,30-Oct-81,USA,1,"Eugene, OR (USA)",28-Jun-08,1233
5,10.87,0.7,Sherone SIMPSON,12-Aug-84,JAM,3,Kingston (JAM),27-Jun-08,1228
5,10.87,0,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,"Crystal Palace, London (GBR)",26-Jul-08,1228
7,10.9,1,Lauryn WILLIAMS,11-Sep-83,USA,3,"Eugene, OR (USA)",28-Jun-08,1222
8,10.93,1.5,Allyson FELIX,18-Nov-85,USA,1,Doha (QAT),9-May-08,1215
8,10.93,1,Marshevet HOOKER,25-Sep-84,USA,4,"Eugene, OR (USA)",28-Jun-08,1215
10,10.95,1.8,Simone FACEY,7-May-85,JAM,1,"Boulder, CO (USA)",18-May-08,1211
11,10.97,0.7,Carmelita JETER,24-Nov-79,USA,1qf2,"Eugene, OR (USA)",27-Jun-08,1206
11,10.97,1.8,Mechelle LEWIS,20-Sep-80,USA,2sf2,"Eugene, OR (USA)",28-Jun-08,1206
13,11.02,1,Angela WILLIAMS,30-Jan-80,USA,6,"Eugene, OR (USA)",28-Jun-08,1195
14,11.03,1.1,Gloria ASUMNU,22-May-85,USA,1,"Clermont, FL (USA)",24-May-08,1193
14,11.03,1.8,LaShauntea MOORE,31-Jul-83,USA,4sf2,"Eugene, OR (USA)",28-Jun-08,1193
16,11.05,0.3,Kim GEVAERT,5-Aug-78,BEL,1,Nivelles (BEL),10-May-08,1189
16,11.05,2,Montell DOUGLAS,24-Jan-86,GBR,1f1,Loughborough (GBR),17-Jul-08,1189
18,11.06,1.9,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1,"Austin, TX (USA)",5-Apr-08,1187
18,11.06,1.9,Chandra STURRUP,12-Sep-71,BAH,1,Luzern (SUI),16-Jul-08,1187
20,11.07,0.7,Bianca KNIGHT,2-Jan-89,USA,4qf2,"Eugene, OR (USA)",27-Jun-08,1185
20,11.07,1.8,Me'Lisa BARBER,4-Oct-80,USA,6sf2,"Eugene, OR (USA)",28-Jun-08,1185
20,11.07,1.8,Alexandria ANDERSON,28-Jan-87,USA,7sf2,"Eugene, OR (USA)",28-Jun-08,1185
23,11.08,0.7,Alexis WEATHERSPOON,27-Jul-83,USA,5qf2,"Eugene, OR (USA)",27-Jun-08,1182
23,11.08,0.2,Oludamola OSAYOMI,26-Jun-86,NGR,1,Abuja (NGR),2-Jul-08,1182
25,11.09,1.1,Alexis JOYCE,15-Sep-83,USA,2,"Clermont, FL (USA)",24-May-08,1180
26,11.11,1.9,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,2,Luzern (SUI),16-Jul-08,1176
27,11.12,1.5,Rakia AL GASSRA,6-Sep-82,BRN,1,Milano (ITA),2-Jul-08,1174
28,11.13,1.2,Chryste GAINES,14-Sep-70,USA,2h1,"Clermont, FL (USA)",14-Jun-08,1172
28,11.13,0.1,Yevgeniya POLYAKOVA,29-May-83,RUS,2qf1,"National Stadium, Beijing (CHN)",16-Aug-08,1172
30,11.14,1.5,Sheri-Ann BROOKS,11-Feb-83,JAM,3,Doha (QAT),9-May-08,1169
30,11.14,0.2,Francisca IDOKO,15-Jun-85,NGR,2sf2,Abuja (NGR),2-Jul-08,1169
30,11.14,0.4,Yuliya NESTERENKO,15-Jun-79,BLR,4qf4,"National Stadium, Beijing (CHN)",16-Aug-08,1169
30,11.14,0,Jeanette KWAKYE,20-Mar-83,GBR,6,"National Stadium, Beijing (CHN)",17-Aug-08,1169
34,11.15,-0.9,Lauryn WILLIAMS,1977,CAN,2f1,"Carson, CA (USA)",18-May-08,1172
34,11.15,1.8,Porscha LUCAS,18-Jun-88,USA,3,"Boulder, CO (USA)",18-May-08,1167
36,11.16,1.2,Victoria JORDAN,26-Feb-90,USA,1,"Austin, TX (USA)",9-May-08,1165
36,11.16,1.8,Shalonda SOLOMON,19-Dec-85,USA,5h1,"Eugene, OR (USA)",27-Jun-08,1165
36,11.16,1.6,Samantha HENRY-ROBINSON,25-Sep-88,JAM,1h2,Kingston (JAM),28-Jun-08,1165
39,11.17,1.6,Juanita BROADDUS,12-May-85,USA,2,"Auburn, AL (USA)",18-May-08,1163
40,11.19,1.1,Stephanie DURST,6-Jan-82,USA,2,Baie Mahault (FRA),1-May-08,1159
41,11.2,1.1,Peta-Gaye DOWDIE,18-Jan-77,JAM,3,"Clermont, FL (USA)",24-May-08,1157
41,11.2,1.2,Aleen BAILEY,25-Nov-80,JAM,4h1,"Clermont, FL (USA)",14-Jun-08,1157
43,11.21,1.2,Wyllesheia MYRICK,21-Nov-79,USA,2,"Coral Gables, FL (USA)",12-Apr-08,1154
43,11.21,2,Virgil HODGE,17-Nov-83,SKN,1,"Fort Worth, TX (USA)",17-May-08,1154
43,11.21,1.8,Scottesha MILLER,14-Jan-88,USA,4,"Boulder, CO (USA)",18-May-08,1154
43,11.21,1,Emma ANIA,7-Feb-79,GBR,2f1,Torino (ITA),6-Jun-08,1154
43,11.21,1.3,Jeneba TARMOH,27-Sep-89,USA,1,"Columbus, OH (USA)",20-Jun-08,1154
43,11.21,1.5,Christine ARRON,13-Sep-73,FRA,1h1,Albi (FRA),24-Jul-08,1154
49,11.22,0,Vida ANIM,7-Dec-83,GHA,1f1,Biberach (GER),28-Jun-08,1152
49,11.22,1.1,Daria KORCZYŃSKA,30-Jul-81,POL,3h8,"National Stadium, Beijing (CHN)",16-Aug-08,1152
51,11.23,1.7,Nickeisha ANDERSON,15-Mar-85,JAM,1f2,"Lawrence, KS (USA)",19-Apr-08,1150
51,11.23,0.6,Schillonie CALVERT-POWELL,27-Jul-88,JAM,4h3,Kingston (JAM),28-Jun-08,1150
53,11.24,1.5,Susanthika JAYASINGHE,17-Dec-75,SRI,4,Doha (QAT),9-May-08,1148
53,11.24,0.6,LaVerne JONES-FERRETTE,16-Sep-81,ISV,2,"Mangueirão, Belém (BRA)",25-May-08,1148
55,11.25,1.7,Anastasiya VINOGRADOVA,13-Sep-86,KAZ,1,Almaty (KAZ),7-Jun-08,1146
56,11.26,-0.9,Sanya RICHARDS-ROSS,26-Feb-85,USA,9f1,"Carson, CA (USA)",18-May-08,1149
56,11.26,1.3,Inna EFTIMOVA,19-Jun-88,BUL,1,Sofia (BUL),14-Jun-08,1144
56,11.26,0.4,Natalya MURINOVICH,27-May-85,RUS,2,"Meteor, Zhukovskiy (RUS)",15-Jun-08,1144
59,11.27,0.9,Tawanna MEADOWS,4-Aug-86,USA,1,"Denton, TX (USA)",11-May-08,1142
59,11.27,1.3,Anita PISTONE,29-Oct-76,ITA,4,"Parc des Sports, Annecy (FRA)",21-Jun-08,1142
59,11.27,2,Laura TURNER,12-Aug-82,GBR,2f1,Loughborough (GBR),17-Jul-08,1142
62,11.28,1.1,Lakecia EALEY,22-Jan-86,USA,1h4,"Tallahassee, FL (USA)",30-May-08,1139
62,11.28,1.6,Natalia POHREBNIAK,19-Feb-88,UKR,1,Kiev (UKR),1-Jul-08,1139
62,11.28,-0.8,Verena SAILER,16-Oct-85,GER,1,Nürnberg (GER),5-Jul-08,1143
65,11.29,1.5,Ebonie FLOYD,21-Oct-83,USA,5,Doha (QAT),9-May-08,1137
65,11.29,0.1,Sani ROSEBY,5-Feb-82,USA,3,"Provo, UT (USA)",24-May-08,1137
65,11.29,1.6,Toyin OLUPONA,29-Jan-83,CAN,4f1,"Clermont, FL (USA)",14-Jun-08,1137
65,11.29,0.7,Mikele BARBER,4-Oct-80,USA,8qf2,"Eugene, OR (USA)",27-Jun-08,1137
69,11.3,0.5,Santana LOWERY,15-Jan-87,USA,1,"Oxford, MS (USA)",12-Apr-08,1135
69,11.3,0.9,Sherry FLETCHER,17-Jan-86,GRN,3,"Baton Rouge, LA (USA)",19-Apr-08,1135
69,11.3,1.8,Lina JACQUES-SEBASTIEN,10-May-85,FRA,1,Sotteville-lès-Rouen (FRA),15-Jun-08,1135
72,11.31,1.5,Shayla MAHAN,18-Jan-89,USA,2,"Greensboro, NC (USA)",19-Apr-08,1133
72,11.31,1.5,Alimat ISMAILA,13-Jul-84,NGR,1,"El Paso, TX (USA)",17-May-08,1133
72,11.31,1.1,Amber ROBINSON,5-Jun-80,USA,5,"Clermont, FL (USA)",24-May-08,1133
72,11.31,0.3,LaDedra GUY,16-Nov-84,USA,5f2,"Icahn Stadium, New York, NY (USA)",31-May-08,1133
72,11.31,0.2,Carima LOUAMI,12-May-79,FRA,1f1,Genève (SUI),31-May-08,1133
72,11.31,1.5,Semoy HACKETT,27-Nov-88,TTO,1sf2,Port-of-Spain (TTO),20-Jun-08,1133
72,11.31,0,Ivet LALOVA-COLLIO,18-May-84,BUL,3f1,Biberach (GER),28-Jun-08,1133
79,11.32,0.7,Irina PRIVALOVA,22-Nov-68,RUS,1,Moskva (RUS),10-Jul-08,1131
79,11.32,0,Ezinne OKPARAEBO,3-Mar-88,NOR,2h10,"National Stadium, Beijing (CHN)",16-Aug-08,1131
81,11.33,0.9,Melinda SMEDLEY,11-Feb-81,USA,2f2,"Modesto, CA (USA)",10-May-08,1129
81,11.33,0,Yuliya GUSHCHINA,4-Mar-83,RUS,1f2,Dessau (GER),30-May-08,1129
81,11.33,0.1,Lina GRINČIKAITÉ-SAMUOLÉ,3-May-87,LTU,2qf5,"National Stadium, Beijing (CHN)",16-Aug-08,1129
81,11.33,1.9,Melissa BREEN,17-Sep-90,AUS,1,Canberra (AUS),8-Nov-08,1129
85,11.34,0.6,Carol RODRÍGUEZ,16-Dec-85,PUR,2,"Austin, TX (USA)",5-Apr-08,1127
85,11.34,1.8,Allison GEORGE,3-Jan-88,GRN,5,"Boulder, CO (USA)",18-May-08,1127
85,11.34,1.3,Jessica ONYEPUNUKA,3-May-86,USA,1,"Northridge, CA (USA)",31-May-08,1127
85,11.34,0.2,Gloria KEMASUODE,30-Dec-79,NGR,3,Abuja (NGR),2-Jul-08,1127
85,11.34,1.2,Yomara HINESTROZA,20-May-88,COL,1,Bogotá (COL),19-Jul-08,1127
90,11.35,-1.3,Geraldine PILLAY,25-Aug-77,RSA,1,Germiston (RSA),22-Feb-08,1132
90,11.35,1.8,Christine OHURUOGU,17-May-84,GBR,1f1,"Irvine, CA (USA)",4-May-08,1125
90,11.35,1.4,Tangela NEAL,7-Apr-79,USA,5h1,"Clermont, FL (USA)",24-May-08,1125
90,11.35,0.1,Agnes OSAZUWA,21-Jun-90,NGR,1h6,Abuja (NGR),1-Jul-08,1125
90,11.35,1.5,Vincenza CALÍ,15-Oct-83,ITA,3,Milano (ITA),2-Jul-08,1125
90,11.35,0.6,Pia TAJNIKAR,19-Sep-85,SLO,1,Maribor (SLO),3-Jul-08,1125
96,11.36,1.9,Latonia WILSON,30-Nov-84,USA,4,"Austin, TX (USA)",5-Apr-08,1123
96,11.36,1.7,Chisato FUKUSHIMA,27-Jun-88,JPN,1f1,Hiroshima (JPN),29-Apr-08,1123
96,11.36,1.8,Monique HENDERSON,18-Feb-83,USA,2f1,"Irvine, CA (USA)",4-May-08,1123
96,11.36,0.4,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,5qf4,"National Stadium, Beijing (CHN)",16-Aug-08,1123
100,11.37,1.2,Dominique DUNCAN,7-May-90,USA,2,"Austin, TX (USA)",9-May-08,1120
1,10.89,1,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,Kingston (JAM),23-Jun-07,1224
2,10.9,2,Torri EDWARDS,31-Jan-77,USA,1,"Carson, CA (USA)",20-May-07,1222
3,10.95,2,Me'Lisa BARBER,4-Oct-80,USA,3,"Carson, CA (USA)",20-May-07,1211
4,10.97,-0.7,Sanya RICHARDS-ROSS,26-Feb-85,USA,2,Shanghai (CHN),28-Sep-07,1210
5,11.01,1.2,Allyson FELIX,18-Nov-85,USA,3,"Icahn Stadium, New York, NY (USA)",2-Jun-07,1198
5,11.01,-0.2,Lauryn WILLIAMS,11-Sep-83,USA,2,"Nagai Stadium, Osaka (JPN)",27-Aug-07,1199
7,11.02,0.8,Mikele BARBER,4-Oct-80,USA,1,Rio de Janeiro (BRA),24-Jul-07,1195
7,11.02,-0.2,Carmelita JETER,24-Nov-79,USA,3,"Nagai Stadium, Osaka (JPN)",27-Aug-07,1196
